x,y
41,47
62,0
83,63
20,15
62,63
20,15
20,31
0,0
83,63
0,63
0,47
20,31
62,15
20,63
0,31
0,63
83,47
62,63
41,0
41,31
20,15
62,31
62,15
0,15
20,47
0,15
62,31
20,15
83,47
41,0
41,0
83,63
83,63
0,0
83,15
83,63
0,31
62,15
20,63
20,47
20,31
83,63
62,0
0,31
62,15
83,31
62,63
83,0
83,63
83,0
20,15
62,0
62,0
41,0
62,15
20,0
83,47
0,15
62,31
62,63
83,15
62,31
20,47
0,47
83,31
62,0
62,63
20,0
41,0
62,0
62,0
83,47
41,63
41,0
62,47
0,63
62,31
62,63
62,63
83,15
41,63
83,63
20,63
41,47
62,63
62,15
62,47
0,15
83,47
62,47
41,15
20,63
83,15
41,15
83,15
20,0
83,63
62,15
41,63
20,0
0,63
20,31
20,15
83,63
83,63
0,47
62,31
0,0
20,0
62,63
0,31
0,63
62,15
41,63
83,63
0,0
20,63
41,0
62,31
41,63
41,47
41,15
83,15
41,31
41,15
20,63
41,15
20,15
20,15
83,63
62,0
0,63
41,63
41,31
41,15
20,0
83,63
20,15
0,47
20,47
41,47
62,47
20,47
62,15
0,47
83,47
0,63
41,15
0,63
0,63
83,47
83,47
83,0
0,15
0,63
83,0
0,31
20,31
20,63
0,63
62,0
41,0
41,0
62,15
20,63
0,15
41,15
83,63
83,31
83,47
83,47
83,0
83,47
83,31
20,0
83,47
83,47
20,63
20,63
62,31
20,15
41,47
41,31
62,31
83,0
20,15
20,15
41,63
41,63
83,31
83,47
62,63
20,47
62,31
83,47
41,47
62,0
20,15
41,47
20,15
83,15
20,0
83,63
62,31
0,0
20,15
20,31
41,0
62,47
20,63
83,31
83,31
20,31
41,47
62,15
41,15
83,47
83,0
20,0
0,15
0,15
41,0
0,63
0,31
62,15
0,47
41,31
83,63
62,47
0,0
62,47
62,15
83,47
20,47
20,47
0,63
62,63
62,47
62,15
62,15
0,0
20,0
20,47
41,15
41,31
0,0
0,63
20,15
83,47
0,31
20,31
83,47
62,47
62,31
83,63
41,0
62,15
83,0
20,15
0,63
0,15
83,0
41,15
83,47
83,31
0,0
62,63
41,63
0,47
41,63
0,47
62,31
83,31
62,0
0,0
20,15
20,15
62,0
20,63
83,15
0,63
62,15
41,0
20,63
62,47
0,31
41,47
20,63
41,63
41,0
20,0
83,0
83,0
41,15
62,63
0,0
62,47
83,31
20,47
0,63
83,63
0,63
41,15
62,15
41,0
62,63
41,0
83,63
62,0
62,15
41,0
41,0
41,47
0,63
20,15
0,31
41,63
20,0
62,15
83,31
83,31
83,15
20,0
0,31
62,63
83,47
20,0
83,0
83,47
83,47
83,47
20,31
83,0
83,47
83,47
83,47
62,15
0,31
41,47
20,31
0,31
0,47
62,0
83,31
41,47
20,63
62,15
41,31
62,15
62,0
62,47
83,15
83,31
83,63
83,63
83,63
20,31
41,31
83,31
83,63
83,15
83,63
62,63
41,15
62,31
20,63
20,47
83,31
83,31
83,31
83,0
62,15
83,15
0,0
20,15
20,0
20,63
83,63
62,63
41,15
62,63
83,63
20,47
0,31
62,63
41,63
20,31
83,0
83,47
20,47
83,47
41,47
83,31
0,0
20,0
20,31
41,0
83,0
41,0
41,0
41,0
41,0
0,47
0,47
0,0
83,47
41,0
62,63
83,47
0,63
0,31
41,15
20,15
83,0
20,47
20,47
83,47
83,47
83,15
0,0
83,31
62,47
83,47
20,15
83,0
41,0
62,0
62,0
41,31
83,31
41,0
62,63
0,31
0,0
0,63
0,0
0,47
83,31
83,31
83,31
83,31
62,0
0,0
41,15
20,31
62,0
41,63
83,15
62,0
0,0
0,15
41,31
83,63
83,0
0,0
41,47
83,47
41,15
62,47
20,15
41,31
62,0
0,0
20,15
0,47
20,0
0,47
41,15
20,63
20,47
62,31
0,0
62,0
62,0
0,0
20,63
41,47
20,0
20,63
0,63
0,63
41,0
83,63
41,15
62,47
62,63
20,15
0,63
0,0
20,0
0,0
62,63
41,47
62,31
62,0
0,0
20,0
20,15
20,31
0,63
62,47
20,31
0,15
20,63
62,47
41,0
20,63
20,15
0,15
20,15
62,47
0,0
62,0
41,15
41,0
41,0
0,15
62,0
62,15
83,31
62,0
0,15
83,63
0,15
83,47
41,63
0,15
41,47
0,15
41,63
0,15
0,63
20,0
62,63
20,15
0,15
0,15
41,31
0,15
0,0
0,47
62,47
62,63
0,15
0,15
41,31
62,47
41,47
62,63
41,31
20,63
0,0
0,15
41,63
0,15
0,15
0,15
0,15
0,15
20,15
0,31
62,31
41,63
20,0
0,31
20,31
83,0
0,0
62,47
83,47
62,0
41,0
20,0
20,31
41,63
83,0
62,31
83,31
83,0
62,47
41,15
0,15
83,31
62,31
41,31
62,47
41,63
0,47
20,15
0,15
20,0
20,31
41,31
20,47
62,15
62,47
0,15
20,31
62,63
41,47
62,47
41,0
0,0
62,15
0,31
20,31
0,31
20,15
83,0
0,0
83,47
20,0
41,47
0,15
62,15
41,0
20,47
0,31
62,47
83,0
41,31
0,47
0,63
20,47
20,0
20,15
62,47
41,47
0,47
20,15
20,63
0,47
0,0
41,0
20,0
62,31
62,15
83,15
62,31
83,15
0,15
62,63
41,15
62,63
83,0
62,63
83,15
41,15
62,0
0,15
0,31
41,47
62,63
83,31
62,63
20,15
62,15
83,15
41,31
62,0
62,31
20,31
41,63
20,63
41,63
83,63
83,31
0,31
0,63
20,15
41,0
41,63
20,47
0,63
41,15
83,15
20,63
0,31
41,15
0,0
41,47
41,15
20,63
20,15
41,15
62,31
62,15
83,15
62,15
83,15
20,31
62,63
0,47
83,31
62,47
41,31
62,15
83,63
83,63
41,15
62,31
62,0
0,0
0,0
20,31
62,63
0,0
41,63
20,63
20,63
20,15
20,31
20,31
20,31
83,0
83,63
0,31
0,15
0,15
41,47
0,63
0,0
83,15
20,15
83,31
0,15
62,47
83,47
0,31
20,31
0,47
62,63
41,31
20,31
20,31
20,31
83,47
83,47
0,63
83,47
20,15
83,47
0,15
83,15
0,0
62,31
0,0
20,0
0,0
0,63
0,31
41,63
20,0
83,15
0,47
0,15
62,15
83,47
0,47
62,0
20,31
62,31
0,0
62,63
20,15
62,63
83,15
41,47
0,0
0,0
83,47
0,0
83,47
62,15
41,15
83,0
20,31
41,31
62,15
0,0
20,63
0,47
0,0
20,47
0,0
0,0
0,31
0,0
0,31
41,15
83,15
62,31
20,63
20,47
83,15
62,63
41,63
62,0
41,63
62,0
41,63
62,0
41,63
83,0
83,47
20,0
41,0
0,63
41,0
62,47
62,0
41,47
83,15
20,0
0,0
20,15
41,47
20,0
41,63
62,47
41,15
62,47
62,63
62,31
83,63
41,0
0,31
41,31
41,47
62,63
62,0
20,63
83,31
0,47
83,31
20,15
41,15
83,0
83,31
0,63
20,63
62,31
20,47
83,31
0,15
83,31
62,47
0,31
83,31
83,31
62,47
62,63
0,47
0,47
0,63
0,47
62,63
83,31
41,0
41,63
83,31
20,47
83,0
83,63
83,31
41,15
0,15
20,31
62,63
0,0
83,47
83,0
0,0
41,63
0,15
0,47
41,47
20,15
41,63
41,63
83,31
62,31
83,0
20,0
62,63
62,47
83,31
20,31
83,31
62,15
20,31
62,47
83,31
20,31
41,63
0,15
41,47
41,47
0,0
0,47
41,47
83,47
0,15
41,47
41,63
41,31
0,31
62,31
83,0
83,47
0,63
0,31
20,0
20,0
0,15
62,47
41,15
0,63
62,63
83,0
0,47
41,31
41,15
62,47
20,31
83,63
0,0
41,15
83,31
20,63
0,63
62,63
41,47
20,63
83,15
41,15
83,31
41,31
41,0
0,15
83,47
20,31
62,47
20,31
83,0
83,63
20,31
41,47
83,63
83,63
83,63
41,0
62,63
62,0
62,31
62,15
83,15
20,47
20,63
41,31
41,47
83,0
0,31
0,47
20,0
41,63
41,15
62,31
62,63
83,0
62,0
83,47
0,31
20,0
83,63
83,31
83,0
20,0
62,31
83,15
41,0
62,0
41,63
41,31
41,47
83,31
20,15
41,31
41,0
41,47
0,0
83,63
0,31
0,63
83,47
20,15
41,0
0,31
62,63
41,47
20,31
41,63
62,31
83,31
0,31
83,31
83,31
0,0
83,63
0,31
20,63
0,47
83,47
20,63
62,31
41,0
0,47
62,47
0,63
83,0
20,47
0,63
62,47
41,47
62,47
41,47
83,31
83,63
41,63
0,15
83,47
0,15
20,63
0,0
0,15
41,47
20,63
83,15
83,47
0,31
41,0
0,47
0,63
0,63
0,15
0,47
83,15
83,15
0,0
83,0
0,63
62,15
62,15
83,63
83,15
41,15
62,31
41,63
20,31
0,31
41,15
83,63
83,63
0,0
41,31
62,0
62,63
0,63
62,63
62,0
0,47
0,47
41,31
0,15
20,0
62,15
41,0
41,15
62,15
0,15
0,15
20,15
41,47
0,15
20,47
0,63
83,15
20,63
0,15
0,15
83,15
0,15
83,47
0,15
20,47
0,15
62,0
41,0
83,31
62,0
62,31
0,15
41,31
41,63
83,63
20,15
62,47
62,31
41,0
83,15
0,0
41,63
41,15
83,63
0,31
20,47
0,15
0,31
62,47
0,0
41,15
62,0
62,15
62,0
0,15
83,63
41,0
62,63
0,0
83,47
83,15
41,0
83,15
0,0
20,0
41,31
83,47
0,63
20,63
83,63
62,0
83,31
20,31
41,63
83,31
41,63
83,63
20,0
62,31
83,31
0,0
41,0
0,31
83,63
20,15
83,63
41,47
41,0
0,15
62,31
83,15
83,15
83,15
0,15
62,15
83,63
83,31
83,15
20,0
83,63
62,47
20,0
83,47
83,63
20,15
20,0
20,0
41,47
83,31
0,0
83,31
83,15
20,0
0,63
20,0
20,0
41,31
41,15
62,63
20,31
41,47
41,31
41,47
41,47
83,47
41,47
41,47
0,47
62,15
0,15
83,31
41,0
0,0
20,0
0,31
83,15
0,0
83,47
20,47
0,31
0,31
83,0
41,15
83,0
20,47
83,47
20,31
41,31
83,47
62,63
83,31
83,63
41,15
83,47
83,0
41,0
0,63
83,63
0,31
41,0
83,15
41,63
20,31
20,47
41,47
20,63
83,31
83,63
62,15
0,47
0,0
41,15
83,63
62,47
83,63
20,15
0,0
83,63
20,15
62,47
20,31
41,0
62,0
62,15
83,0
62,15
20,31
62,31
20,63
20,47
83,0
62,47
83,63
20,63
0,63
0,47
62,63
20,63
0,15
0,47
20,0
41,15
41,47
83,15
20,63
62,63
83,0
83,63
41,31
83,63
0,31
83,63
0,47
83,31
83,31
0,15
0,63
41,31
20,63
62,31
83,31
41,47
41,47
62,31
62,47
20,63
20,0
62,0
0,63
0,63
0,31
62,15
0,63
0,47
62,0
20,0
62,63
20,0
62,63
83,0
0,63
83,31
62,31
20,47
83,47
62,31
20,31
20,31
0,15
20,31
20,63
0,31
41,31
62,0
20,31
83,0
41,47
0,63
83,31
0,63
0,63
62,63
20,15
83,31
41,31
0,47
0,63
0,63
20,0
0,47
0,31
83,31
0,47
62,63
62,31
0,15
20,47
41,47
20,31
41,47
62,63
41,47
83,63
41,47
41,31
20,47
0,47
20,47
20,31
0,15
83,47
20,0
41,47
0,63
20,63
20,31
83,63
83,0
20,47
20,0
0,0
83,47
41,31
0,15
41,31
20,47
0,47
83,47
20,15
83,63
20,31
0,0
62,47
41,31
62,15
83,63
20,63
83,63
62,15
83,63
0,15
83,63
0,63
62,63
0,63
62,31
83,47
83,0
62,0
41,47
20,47
41,15
83,63
0,47
0,0
62,63
83,31
62,47
62,31
62,47
62,63
0,63
20,63
0,15
0,31
20,63
62,0
0,63
83,0
41,63
0,63
0,47
0,63
0,15
20,31
83,15
41,15
20,0
20,0
0,31
20,0
20,0
0,31
0,31
20,0
62,15
83,15
20,63
41,15
20,0
41,31
83,47
0,31
0,63
83,31
41,63
83,31
83,63
83,47
62,47
20,47
83,47
83,47
83,15
83,47
0,31
83,47
83,0
41,47
20,31
41,63
41,47
62,47
83,31
83,47
41,31
83,15
83,0
62,63
20,47
0,47
20,0
20,0
62,15
83,15
20,0
62,0
62,47
20,0
41,47
62,15
62,15
41,31
20,0
41,31
0,31
0,31
83,15
83,0
0,0
62,63
83,15
0,63
41,31
20,15
41,0
62,47
83,63
20,63
62,63
0,15
41,63
20,63
41,0
20,0
41,15
0,0
20,63
41,63
83,31
0,0
20,0
0,63
0,0
62,0
0,15
83,47
20,0
0,31
83,47
62,63
0,31
41,0
20,15
83,63
0,15
62,15
41,63
41,63
0,31
0,63
62,15
0,31
20,15
62,31
62,31
0,47
41,31
41,0
20,31
62,63
62,31
62,47
83,63
20,0
83,0
0,0
83,63
83,47
0,0
62,0
62,15
41,31
20,15
20,15
0,15
83,15
0,15
20,0
83,63
83,0
62,47
20,63
0,63
20,63
62,0
83,0
20,31
0,63
41,31
62,0
0,15
0,0
20,0
0,31
41,31
0,63
20,63
20,63
20,63
20,31
20,0
20,47
0,15
0,47
62,63
62,0
20,15
83,15
41,15
62,63
62,0
20,63
20,15
20,15
62,47
41,47
20,15
83,47
20,31
0,63
83,15
41,0
20,15
62,0
41,31
83,31
62,0
20,47
62,15
20,15
62,63
41,47
83,47
20,15
83,63
0,0
41,47
41,0
0,47
62,47
62,31
20,31
62,47
41,15
41,15
0,63
0,63
83,47
41,31
41,47
83,0
41,0
0,31
41,0
83,63
62,47
83,63
62,47
20,0
41,47
41,0
41,0
83,47
41,15
83,0
62,63
41,47
83,63
41,47
62,15
20,31
83,31
83,0
62,0
83,63
62,0
0,0
20,15
83,47
0,0
20,15
62,63
41,31
41,15
62,15
83,63
62,63
0,63
20,47
0,63
41,15
41,63
62,0
41,31
62,47
62,15
83,63
62,31
41,63
20,63
62,0
62,15
41,0
41,31
20,47
0,63
62,31
20,0
0,15
83,47
83,31
62,63
83,0
83,15
0,15
20,0
20,63
41,63
20,63
83,47
0,31
83,63
0,15
20,31
83,15
83,0
20,15
83,15
20,0
20,0
62,63
20,15
62,31
20,63
83,15
83,47
62,63
20,0
0,63
0,63
41,47
0,31
62,63
0,63
20,0
20,47
0,63
41,31
0,63
0,47
83,15
83,31
0,15
0,63
62,15
41,63
20,47
20,0
0,47
20,31
83,0
62,31
62,15
62,47
62,0
0,0
83,31
20,47
20,31
41,63
0,31
0,15
62,15
41,63
0,31
41,63
20,15
41,0
20,0
62,0
41,63
20,31
0,15
83,31
62,15
0,63
41,63
0,63
41,31
0,63
62,15
20,0
83,63
20,15
0,63
62,15
41,0
62,15
41,0
20,47
83,0
20,15
62,63
62,0
62,15
83,31
0,15
83,63
83,0
62,15
0,0
41,0
0,15
0,31
62,0
0,31
62,31
41,15
20,15
41,0
83,47
0,47
0,63
0,47
20,0
41,15
41,31
0,15
83,31
20,0
20,0
62,63
20,0
62,0
20,63
62,15
0,47
20,31
83,31
0,15
83,31
41,15
41,15
83,0
20,15
20,15
83,15
62,0
83,15
83,0
41,0
83,63
0,63
41,47
0,63
0,63
20,47
20,0
83,15
83,63
62,47
62,47
20,0
20,63
0,63
83,31
0,15
0,63
41,31
41,63
20,47
83,63
0,0
20,15
62,0
20,0
62,47
62,31
0,63
0,63
0,47
83,47
20,63
0,63
20,15
20,0
62,47
0,63
41,15
62,63
0,63
0,63
0,63
62,47
20,0
41,31
62,31
83,15
41,47
41,47
62,47
20,63
0,47
62,47
83,0
83,63
62,63
20,31
0,47
0,47
62,63
20,31
83,0
62,15
83,0
83,63
41,31
20,0
41,63
83,15
83,63
62,31
62,63
20,31
20,0
20,47
41,63
41,15
41,63
83,47
41,31
20,0
62,47
20,15
83,63
0,0
0,63
20,15
83,63
41,63
0,0
20,15
62,47
62,31
20,63
62,31
83,63
83,15
41,15
41,15
83,63
41,31
83,0
0,47
41,15
41,15
83,0
83,15
83,31
62,15
41,15
83,0
62,15
41,47
20,0
41,15
62,47
20,47
83,47
62,63
41,47
20,47
41,31
62,63
41,31
41,15
83,0
41,63
41,31
20,47
83,15
0,15
0,15
41,31
62,47
41,15
41,31
20,0
62,47
41,15
0,15
83,0
83,0
20,31
41,15
83,0
41,0
62,0
62,0
0,15
83,0
62,0
0,63
20,63
0,31
20,15
62,0
83,0
20,47
83,0
41,0
20,0
20,31
62,15
83,0
62,0
62,0
0,15
83,31
83,31
83,47
41,63
62,15
41,47
41,63
0,47
20,47
20,47
62,0
83,63
0,15
62,31
41,31
62,0
62,63
83,31
41,0
62,0
62,0
83,15
83,31
62,63
20,47
0,63
41,47
0,31
0,47
0,0
0,31
41,47
20,47
62,31
62,31
0,47
83,31
62,63
62,31
62,15
62,0
62,0
20,15
0,0
83,0
20,0
20,15
62,0
41,0
41,15
83,0
20,31
0,31
20,0
41,0
62,15
62,0
0,0
62,15
0,0
0,31
83,15
41,0
62,63
41,47
83,63
0,63
0,15
0,63
0,63
83,0
83,47
41,31
20,47
41,47
0,63
83,0
83,31
83,0
41,47
62,31
20,63
62,47
0,15
83,0
83,63
83,0
62,31
62,63
41,63
41,31
41,63
83,47
20,15
20,63
20,15
0,15
62,63
62,0
41,15
41,47
41,15
83,15
0,31
20,0
0,0
41,0
83,0
83,0
83,0
41,63
20,47
41,0
62,31
41,0
83,0
41,0
83,0
62,47
83,0
62,0
41,63
20,0
41,31
83,0
20,47
62,63
62,15
41,15
20,63
41,63
41,0
0,31
83,63
20,15
20,15
0,15
0,63
0,15
41,15
41,15
0,15
20,31
41,63
41,31
62,63
0,0
62,31
62,0
0,47
62,15
41,0
0,0
83,0
0,31
0,47
62,31
62,31
83,63
62,15
62,31
62,31
62,31
62,0
0,0
20,63
83,63
20,31
62,15
62,15
62,31
62,31
62,31
83,47
62,31
83,31
62,31
62,31
0,63
62,31
62,31
0,31
0,63
62,31
83,47
83,0
20,31
20,31
62,31
62,63
62,63
62,0
20,47
62,63
83,15
41,0
20,31
83,31
20,15
83,47
0,0
62,15
83,63
41,0
62,15
0,15
0,15
20,31
83,47
0,31
62,0
20,0
0,31
0,63
83,63
20,47
83,47
0,0
20,47
20,15
62,0
20,47
20,31
0,63
20,63
0,0
0,31
20,63
0,63
20,63
83,63
83,15
41,15
41,47
0,63
41,0
0,63
62,0
20,31
0,63
0,63
62,0
0,31
0,31
62,0
20,31
62,47
0,15
62,31
20,63
62,47
83,15
62,15
41,31
41,0
20,15
62,47
83,0
83,63
62,63
62,15
62,63
41,31
41,63
83,63
62,63
20,47
0,15
20,47
62,0
62,0
0,31
41,47
83,0
41,0
20,63
0,63
20,15
0,47
0,15
83,15
83,0
41,47
41,47
20,47
20,31
20,15
62,31
20,0
62,47
83,0
0,15
83,0
62,63
62,0
83,0
20,0
62,31
0,63
41,0
0,31
83,31
41,0
41,0
83,15
83,15
62,31
83,15
20,0
83,63
20,15
0,63
0,15
83,47
0,63
83,63
0,15
20,15
41,0
0,31
41,63
20,63
62,31
0,47
41,0
0,0
0,15
20,0
83,63
83,63
41,31
83,31
62,47
62,47
62,0
83,63
62,63
62,15
83,63
83,63
41,15
83,0
41,15
62,47
0,15
0,15
62,63
20,47
62,31
41,47
62,63
20,63
62,47
20,0
62,47
41,15
0,63
41,63
20,47
62,15
83,63
0,31
62,15
62,0
41,15
0,15
83,0
20,0
83,63
41,47
83,0
62,15
41,31
20,0
0,63
41,0
0,63
41,31
62,31
62,15
0,31
0,31
20,15
41,31
41,31
83,63
20,0
20,15
41,31
0,47
41,31
41,0
83,31
0,47
41,31
83,0
41,15
41,31
41,31
41,31
41,31
41,47
62,47
41,0
0,0
20,63
41,31
41,31
41,31
83,15
41,15
62,0
41,47
0,15
20,0
41,31
0,63
0,47
0,63
41,31
41,47
41,31
62,15
41,31
83,47
41,0
20,47
41,31
0,15
20,47
83,15
20,15
62,0
20,31
62,31
83,31
62,63
83,31
20,63
41,63
0,31
62,0
20,63
62,47
0,31
20,15
62,63
0,31
0,63
62,31
83,31
41,15
0,31
0,31
0,31
0,63
0,31
0,31
0,31
41,47
0,31
0,31
41,0
0,0
62,31
20,63
0,31
62,0
0,31
83,0
62,15
20,47
83,47
0,31
0,31
0,31
62,31
0,31
20,31
41,0
0,15
83,63
0,31
20,47
83,63
0,63
20,31
20,31
83,15
0,31
41,31
41,15
0,63
20,47
0,47
20,63
20,31
20,0
62,15
20,63
20,47
20,31
83,63
83,63
83,0
0,31
83,15
41,15
20,0
41,0
83,47
83,47
83,15
20,0
62,47
83,31
0,63
83,63
20,0
83,0
41,0
62,15
0,0
62,47
0,0
62,0
83,31
83,63
20,15
20,47
0,0
83,31
0,63
0,31
20,47
83,47
20,31
0,63
41,15
83,47
0,47
83,47
41,63
41,47
62,31
83,47
20,31
20,47
41,0
41,15
41,47
20,0
62,15
0,47
83,47
0,47
0,15
20,47
0,63
41,0
20,47
20,63
0,47
0,63
20,15
20,15
41,15
20,0
20,15
83,0
20,31
20,31
0,63
20,15
41,0
41,31
62,63
62,47
20,15
0,63
20,15
83,31
83,31
83,15
62,0
83,63
83,63
62,15
0,0
83,63
20,31
83,31
83,31
83,47
83,15
41,31
83,63
62,0
83,47
0,0
0,0
0,47
62,31
83,47
62,47
41,63
41,63
20,15
20,47
20,63
41,0
41,63
83,47
41,63
41,0
20,63
0,63
83,0
62,31
83,47
83,31
83,31
62,47
0,47
83,47
20,47
41,31
41,31
20,47
20,0
62,0
62,31
62,15
20,31
20,0
62,31
20,0
62,0
83,0
41,15
41,0
83,63
0,31
62,0
62,31
20,47
20,0
83,0
20,15
41,0
83,63
0,63
0,63
0,63
83,0
83,0
0,15
20,63
41,15
62,0
41,63
0,47
20,0
41,15
62,0
41,47
0,0
0,0
83,63
83,31
0,47
20,0
20,47
20,63
0,47
62,31
20,15
83,63
62,31
20,63
41,0
83,31
41,31
41,0
62,15
0,47
41,0
0,0
0,15
0,63
41,31
41,31
62,31
0,15
83,63
83,31
20,0
20,15
83,63
20,31
41,0
83,63
20,31
83,63
20,47
83,63
0,0
83,63
83,31
41,63
0,63
20,63
83,0
83,47
83,31
20,63
20,15
41,47
62,47
83,63
62,15
0,63
20,63
20,31
62,63
20,63
0,63
62,15
62,15
83,0
83,31
0,63
83,31
0,63
41,63
83,15
83,0
0,15
62,63
0,63
0,63
20,15
0,63
20,15
83,31
0,63
62,31
20,31
0,63
41,15
20,15
0,63
20,0
41,63
41,0
0,63
41,31
0,63
62,15
62,15
83,47
83,31
41,15
0,63
20,15
41,63
0,0
83,0
20,31
83,63
41,31
0,63
62,63
20,31
0,63
0,63
0,63
83,15
0,31
62,31
0,63
0,63
0,63
0,63
0,63
0,63
62,47
62,31
41,63
0,15
0,63
20,31
20,15
41,0
62,31
0,15
41,0
0,31
83,31
62,63
0,15
0,31
0,47
62,47
20,31
41,15
41,0
83,0
62,0
20,0
20,47
83,15
20,63
83,0
62,0
62,31
20,15
41,47
62,63
83,31
83,0
20,63
0,0
62,0
62,0
41,63
41,63
83,47
83,63
83,63
83,15
41,15
83,0
62,63
62,63
83,15
41,0
62,15
41,63
62,0
83,31
62,63
62,47
0,0
83,15
83,15
0,31
62,31
83,47
62,31
0,15
0,0
0,47
0,47
41,31
20,0
0,63
83,15
20,63
83,31
0,47
41,31
83,15
20,31
0,0
20,0
0,47
0,47
41,0
41,15
0,47
83,63
0,47
83,15
0,15
83,31
83,47
0,63
0,47
0,0
0,31
41,0
20,63
83,0
20,47
41,15
0,31
41,15
0,47
83,15
20,0
41,31
62,0
0,47
20,63
0,47
62,15
0,47
83,31
0,47
62,63
41,0
20,63
62,31
62,0
62,0
41,47
0,63
0,15
20,0
83,63
0,63
41,63
41,31
41,15
83,0
62,15
62,63
62,31
62,15
20,47
20,15
20,63
0,47
0,0
83,63
0,63
83,31
62,0
41,47
83,0
83,0
20,47
0,63
62,15
0,63
0,63
62,63
62,47
20,63
20,63
62,31
41,47
83,63
62,0
20,31
20,63
62,31
20,31
41,63
41,47
62,63
83,0
20,15
83,15
0,63
62,63
83,0
41,63
62,15
0,63
83,31
83,31
20,31
41,15
83,15
62,31
0,47
62,63
0,15
0,15
62,63
0,15
0,31
20,63
0,31
0,47
20,15
20,15
62,15
20,47
20,0
0,47
83,0
83,31
41,47
0,0
83,31
20,0
62,15
83,63
0,31
62,31
83,63
83,31
20,47
41,15
20,31
20,0
41,15
20,0
83,0
20,15
41,63
0,47
41,63
20,63
62,63
83,0
83,31
62,63
20,0
83,63
62,63
20,31
0,63
83,47
62,31
0,0
62,63
62,47
20,0
0,15
0,63
62,63
62,15
0,15
83,0
0,15
0,47
62,0
41,31
41,0
83,31
41,31
62,63
41,31
0,15
0,47
41,63
62,63
83,63
83,31
20,0
83,31
41,31
62,47
20,47
20,47
62,63
62,63
62,15
83,47
20,47
83,47
62,0
20,15
20,47
62,15
0,0
62,47
62,15
20,47
41,0
0,31
20,15
20,63
20,0
41,15
62,31
83,63
41,0
83,31
0,31
83,31
41,0
41,15
0,15
83,47
20,15
41,15
0,15
20,0
0,15
83,0
83,31
0,15
0,31
62,63
83,15
20,31
41,0
0,63
20,47
0,15
83,63
0,15
0,15
0,47
41,47
83,15
0,15
83,31
41,47
83,15
0,47
83,47
41,47
0,15
0,15
83,31
0,63
0,15
41,15
62,15
83,63
0,15
83,63
62,15
41,15
62,31
83,15
20,0
41,63
41,63
20,0
0,15
41,15
0,15
41,63
0,15
83,15
62,15
0,15
62,31
0,63
0,15
83,31
0,63
0,15
41,47
83,31
62,63
20,31
20,15
20,47
0,15
62,47
62,15
20,31
41,63
62,47
20,31
62,0
20,0
0,15
41,0
0,0
83,31
83,63
62,31
20,15
83,31
0,63
41,15
20,63
41,15
20,31
20,31
62,47
20,0
0,63
20,63
20,63
0,15
83,31
62,31
0,31
83,0
20,47
41,63
20,31
0,15
62,15
41,31
83,47
41,31
83,47
83,31
62,47
0,15
20,31
83,47
0,63
41,15
62,31
62,47
0,63
41,47
0,15
62,0
41,63
20,47
41,0
20,63
83,47
41,63
0,0
83,0
20,31
41,0
62,0
62,0
41,63
0,63
62,31
41,63
62,15
41,0
62,47
41,0
41,0
41,47
41,31
83,63
83,15
41,31
0,0
20,15
62,63
62,63
41,0
62,63
20,15
83,63
83,47
62,47
62,63
62,63
62,0
62,31
62,63
62,63
20,63
62,31
62,47
0,31
0,63
41,0
41,31
62,47
0,0
83,63
41,0
20,63
41,63
83,63
62,47
62,63
62,63
0,63
41,47
62,47
41,0
41,15
83,63
41,47
20,0
0,31
0,15
0,47
41,0
83,15
41,47
83,47
20,31
20,0
20,15
41,15
62,0
41,47
0,63
83,47
20,63
62,15
0,63
83,63
41,63
20,63
83,31
62,47
62,63
62,31
20,47
20,31
41,0
83,63
83,15
62,63
83,63
20,0
62,15
83,47
20,47
83,63
20,47
41,31
83,31
83,63
41,63
20,31
62,0
83,31
41,47
20,31
20,47
41,0
41,31
41,15
20,0
83,63
83,31
62,63
0,15
83,47
41,31
20,15
0,15
20,31
83,0
0,63
83,15
41,47
83,15
0,47
83,0
83,0
83,31
20,47
41,31
0,47
41,47
62,47
83,63
20,47
62,31
62,0
41,63
62,0
0,0
62,0
0,15
62,0
62,47
0,63
41,31
0,15
0,47
41,63
0,15
62,47
62,15
20,47
20,47
0,0
0,15
41,31
0,47
20,15
0,31
0,0
20,31
62,15
20,15
83,63
0,47
62,31
20,31
83,63
0,15
20,15
62,15
20,15
83,63
62,15
41,0
0,63
83,31
62,47
0,0
41,47
20,63
20,63
83,31
0,31
41,15
62,31
83,0
83,15
83,31
62,31
83,15
83,31
41,15
83,15
0,47
0,0
83,0
83,63
83,47
41,63
62,47
20,47
83,15
83,63
20,47
20,15
20,0
41,47
41,63
83,15
20,15
41,63
41,15
41,63
41,63
20,15
20,15
20,15
0,0
41,0
83,63
20,0
62,31
83,15
41,15
62,15
62,31
20,0
0,47
0,31
41,47
20,0
62,0
62,15
0,0
20,0
0,15
0,0
20,31
83,0
20,0
83,15
20,0
0,63
20,63
41,0
20,31
0,31
20,15
20,31
83,47
20,47
20,15
20,47
41,31
62,0
20,15
41,0
83,63
0,63
83,31
83,63
0,15
62,63
83,31
83,31
83,0
83,31
83,31
83,47
83,0
83,31
41,15
62,63
83,63
0,63
41,47
83,31
83,31
62,0
20,0
20,0
83,0
62,15
41,0
83,15
20,0
62,63
41,15
